Issue Type,Issue Key,Summary,Description,Epic Link,Parent,Story Points,Priority,Labels,Components,Sprint
Story,S5-3,Validate composed S5 vs microstructure alone,"AS a quant researcher
I WANT to confirm gamma adds material lift on top of reversal microstructure
SO THAT we know S5 is real and not just filtered reversals.

ACCEPTANCE CRITERIA:
- Compare composed S5 hit rate vs reversal-only on identical universe
- Composed S5 must outperform by >= 5pp hit rate or >= 0.30R per-trade
- If gamma adds nothing, drop the filter, rebrand",S5-E1,,3,High,"phase-0,sub-edge",,
Story,S5-4,Validate ML-gated S5 vs composed alone (Phase 0 final gate),"AS a quant researcher
I WANT to confirm ML adds >= 15% net EV improvement
SO THAT we don't ship ML for marginal gain.

ACCEPTANCE CRITERIA:
- This story can only START after S5-E4 ML model exists
- Compare ML-gated EV vs rules-only EV on holdout
- Below 15%: keep rules-only",S5-E1,,3,High,"phase-0,sub-edge,ml",,
Story,S5-23,Run rules-only backtest on 12-month history,"AS a quant researcher
I WANT a rules-only backtest report for S5
SO THAT we know deterministic edge before adding ML.

ACCEPTANCE CRITERIA:
- 12 months historical, top-100 names
- Output: hit rate, avg R, net Sharpe, max DD, total trades
- Cost model per v2.2 sec A5.2
- PASS gate: net positive EV after costs",S5-E3,,5,High,,backtest,
Test,S5-23.T1,TEST: backtest equity curve reproducible,Run twice; equity curves byte-identical.,,S5-23,,Medium,,tests,
Test,S5-23.T2,TEST: trade-by-trade attribution available,Every trade has source candidate_id linkable to features hash.,,S5-23,,Medium,,tests,
Story,S5-30,Define ML labeler — TRADE OUTCOME (per ChatGPT review),"AS a quant researcher
I WANT label_s5_trade_outcome() producing forward labels representing whether the simulated production trade succeeds after costs
SO THAT the ML model is trained on profitable trades, not reversal-state transitions.

ACCEPTANCE CRITERIA:
- Renamed from label_s5_transition() — production label is trade outcome
- Label 1 ONLY if simulated trade reaches target before stop AND survives modeled costs/slippage
- Label 0 for: stop hit, timeout, IV crush, invalidation, unfilled
- Decision-time-only constraints: ATR, GEX, spread, IV all snapshotted at decision time
- Future bars: bars[row.idx+1 : row.idx+1+N] strictly
- Both labels stored: label_reversal_next_N AND label_trade_success",S5-E4,,8,Critical,"build-ml-transition-model,ml",,
Sub-task,S5-30.1,Implement decision_time_atr helper,"atr_at(bars, idx, period=20). Asserts no future data accessed.",,S5-30,1,Medium,,,
Sub-task,S5-30.2,Implement decision_time_gex helper,"gex_at(gex_history, timestamp). Returns latest snapshot with ts <= timestamp.",,S5-30,1,Medium,,,
Sub-task,S5-30.3,Implement label_s5_trade_outcome simulator,"Simulate: entry at next-bar open + slippage, exit at first of target/stop/timeout/IV-crush/invalidation. Apply cost model. Return 1 if net P&L > 0.",,S5-30,3,Medium,,,
Sub-task,S5-30.4,Implement label_reversal_next_N (kept for sub-edge attribution),Original reversal-state label retained alongside trade_success.,,S5-30,1,Medium,,,
Test,S5-30.T1,TEST: labeler rejects future-data ATR,"GIVEN ATR using bars[idx+1], WHEN labeler called, THEN raises LookAheadError.",,S5-30,,Medium,,tests,
Test,S5-30.T2,TEST: label_trade_success matches production execution,"Synthetic: entry $185.50, target $187.50, stop $185.00, cost 6%, future bars high $187.80 then low $186.80. Label = 1.",,S5-30,,Medium,,tests,
Test,S5-30.T3,TEST: rejects winning reversal that loses money,GIVEN reversal occurred but vertical IV crushed 35% pre-target. label_reversal=1 BUT label_trade_success=0.,,S5-30,,Medium,,tests,
Story,S5-31,Build training dataset with execution-aware features,"AS a quant researcher
I WANT a labeled dataset including execution-aware features and both label types
SO THAT the trained model can reject signals killed by spread, liquidity, IV friction.

ACCEPTANCE CRITERIA:
- Replay 12 months, emit Candidate row when is_s5_setup()=True
- Compute v2.2 sec 18 features
- Compute label_trade_success per S5-30
- Compute label_reversal_next_N
- ADD execution features:
  bid_ask_spread_pct, option_volume, option_open_interest,
  iv_percentile, front_iv_change, skew_slope,
  entry_distance_from_gamma, strike_oi_rank, time_since_ignition
- Persist to parquet with schema v2 stamp
- Sample size handling per S5-31a escalation ladder",S5-E4,,5,Critical,"build-ml-transition-model,ml",,
Test,S5-31.T1,TEST: execution features computable for >= 95% of rows,"GIVEN candidate dataset, WHEN execution features computed, THEN spread, volume, OI populated for >= 95%.",,S5-31,,Medium,,tests,
Story,S5-31a,Sample-size escalation ladder,"AS a quant researcher
I WANT explicit escalation when 12mo data yields insufficient candidates
SO THAT we don't paint into a corner.

ACCEPTANCE CRITERIA:
- Step 1: < 200/direction in 12mo: manual approval to expand to 24mo
- Step 2: < 200 in 24mo: manual approval to expand top-100 -> top-200 universe
- Step 3: < 200: manual approval to relax gates (at_liquidity 0.5->0.75; gex_strike_dte 6->4)
- Step 4: still < 200: retire ML, ship rules-only S5; file decision in /docs/decisions/ml-retired.md
- Each step is manual decision point, not automatic relaxation",S5-E4,,2,High,"build-ml-transition-model,ml",,
Story,S5-32,Train logistic regression baseline,"AS a quant researcher
I WANT a logistic regression baseline
SO THAT we have an interpretable sanity check before tree models.

ACCEPTANCE CRITERIA:
- StandardScaler + LR with L2
- Feature importance via coefficients
- Walk-forward CV per v2.2 sec 20
- Output: AUC, Brier, calibration curve",S5-E4,,3,High,"build-ml-transition-model,ml",,
Test,S5-32.T1,TEST: baseline AUC on training >= 0.55,"Below 0.55, features insufficient; revisit feature engineering before LightGBM.",,S5-32,,Medium,,tests,
Story,S5-33,Train LightGBM with top-decile precision tracking,"AS a quant researcher
I WANT a LightGBM model evaluated on top-decile precision and feature stability, not just AUC
SO THAT we know the model ranks BEST candidates correctly.

ACCEPTANCE CRITERIA:
- LightGBM with early stopping
- Optuna hyperparameter search (50 trials, log all)
- Walk-forward CV (5 folds) with embargo
- Track per-fold: top_decile_precision, precision_at_threshold, feature_stability (Spearman across folds)
- If feature_stability_min < 0.6, flag for review
- Output: AUC, Brier, top-decile precision, feature importance, SHAP",S5-E4,,8,Critical,"build-ml-transition-model,ml",,
Sub-task,S5-33.1,Walk-forward split with embargo,"5 folds, 1% embargo around overlapping label windows.",,S5-33,2,Medium,,,
Sub-task,S5-33.2,Hyperparameter search via Optuna,"50 trials, log all parameter sets and OOF scores.",,S5-33,3,Medium,,,
Sub-task,S5-33.3,Feature importance and SHAP,Top-20 features by importance; SHAP summary plot.,,S5-33,2,Medium,,,
Test,S5-33.T1,TEST: walk-forward never trains on future,"Verify train fold's max ts < test fold's min ts - embargo, every fold.",,S5-33,,Medium,,tests,
Test,S5-33.T2,TEST: feature stability across folds,Spearman rank correlation of feature_importance vectors across 5 folds. Min pairwise >= 0.6.,,S5-33,,Medium,,tests,
Story,S5-34,Calibrate with Brier and reliability-bin validation,"AS a quant researcher
I WANT calibrated probabilities AND a check that calibration didn't move predictions to safe middle
SO THAT EV-based threshold uses meaningful probabilities.

ACCEPTANCE CRITERIA:
- Isotonic regression on validation fold
- Brier improves baseline by >= 10%
- Reliability bins populated: each decile contains >= 5 samples
- Calibration slope in [0.85, 1.15]",S5-E4,,3,High,"build-ml-transition-model,ml",,
Test,S5-34.T1,TEST: calibration improves Brier,Calibrated_brier < uncalibrated_brier by >= 5%.,,S5-34,,Medium,,tests,
Test,S5-34.T2,TEST: reliability bins populated,Each decile has >= 5 samples post-calibration.,,S5-34,,Medium,,tests,
Test,S5-34.T3,"TEST: calibration slope in [0.85, 1.15]","Linear regression of observed_p on predicted_p has slope in [0.85, 1.15].",,S5-34,,Medium,,tests,
Story,S5-35,EV-curve threshold with minimum trade count,"AS a quant researcher
I WANT pick_threshold() with minimum trade count guardrails
SO THAT we don't pick a knife-edge threshold from 12 lucky trades.

ACCEPTANCE CRITERIA:
- Iterate thr in [0.50, 0.85] step 0.01
- Compute net EV using cost model
- Reject extremes <= 0.51 or >= 0.83 with warning
- Min 30 validation trades per threshold; prefer 50+
- Report per-threshold: precision, avg R, net EV, max DD, trade count",S5-E4,,3,High,"build-ml-transition-model,ml",,
Test,S5-35.T1,TEST: threshold from validation only,Verify pick_threshold uses validation fold; test fold gives different optimum.,,S5-35,,Medium,,tests,
Test,S5-35.T2,TEST: extreme threshold warning fires,"GIVEN optimum is 0.50, WHEN runs, THEN warning logged.",,S5-35,,Medium,,tests,
Story,S5-36,Pass criteria gate with combined criteria,"AS a quant researcher
I WANT automated promotion gate requiring precision AND Brier AND (AUC OR EV)
SO THAT we don't ship a model that passes one metric while failing critical others.

ACCEPTANCE CRITERIA — promote if ALL of:
- (AUC >= 0.62 OR EV improves rules-only by >= 15%)
- AND Brier improves baseline by >= 10%
- AND top-decile precision >= 60%
- AND calibration slope in [0.85, 1.15]
- AND feature_stability_min >= 0.6
- AND sample size >= 200/direction (preferred 300+)
Failure of any single criterion blocks promotion.",S5-E4,,2,Critical,"build-ml-transition-model,ml",,
Test,S5-36.T1,TEST: model below 0.62 AUC and 15% EV does NOT promote,Synthetic AUC 0.59 and EV 8% must fail.,,S5-36,,Medium,,tests,
Test,S5-36.T2,TEST: passing AUC but failing precision blocks,Synthetic AUC 0.65 but top-decile precision 0.55 must fail.,,S5-36,,Medium,,tests,
Story,S5-37,"Model registry with version, hash, reproducibility","AS a developer
I WANT a model registry storing trained models with version, training data hash, code hash, hparams
SO THAT every prediction can be traced back.

ACCEPTANCE CRITERIA:
- Stored: version, training_data_hash, feature_hash, code_git_sha, hparams, metrics, calibration_curve
- Registry persisted: Postgres + serialized model in S3
- Loading by version returns deterministic predictions",S5-E4,,3,High,"build-ml-transition-model,ml",,
Test,S5-37.T1,TEST: load(version) returns identical predictions,"Save, reload via registry, predict on fixed 100-row sample. Byte-identical.",,S5-37,,Medium,,tests,
Story,S5-40,Identical-cost-and-slippage holdout comparison,"AS a quant researcher
I WANT rules-only vs ML-gated comparison with SAME cost and slippage on identical holdout
SO THAT EV difference is attributable to ML, not different cost models.

ACCEPTANCE CRITERIA:
- Same holdout for both
- Same cost model and slippage: explicit assertion in code that params identical
- Same execution-viability filter applied to both
- Output: trades, hit rate, R, net EV, Sharpe, max DD for both
- PASS gate: ML-gated net EV >= rules-only * 1.15",S5-E5,,3,Critical,,backtest,
Test,S5-40.T1,TEST: holdout not seen during training,Holdout date range > training-fold max date + embargo.,,S5-40,,Medium,,tests,
Test,S5-40.T2,TEST: cost params byte-identical between runs,Assert: cost_model_rules_only.params == cost_model_ml_gated.params.,,S5-40,,Medium,,tests,
Story,S5-50,Wire live S5 candidate stream to Alpaca paper,"AS a trader
I WANT live S5 candidates submitting paper orders
SO THAT we get realistic execution data.

ACCEPTANCE CRITERIA:
- Live UW + Polygon flows through full pipeline
- Risk manager veto enforced before submission
- Decision log entry for every TRADE or PASS
- Push notification on every TRADE",S5-E6,,5,Critical,,"execution,paper",
Test,S5-50.T1,TEST: paper account never breaches per-trade cap,Synthetic 100-candidate stream; no candidate sized > 0.50% of equity.,,S5-50,,Medium,,tests,
Test,S5-50.T2,TEST: every PASS has logged reason,Run live 1 day; assert decision_log query 'pass_reason IS NULL AND decision=PASS' returns zero.,,S5-50,,Medium,,tests,
Story,S5-51,"Run paper for 60 trading days (or 50 candidates, whichever LATER)","AS a quant researcher
I WANT 60 calendar days of paper trading OR 50 candidates (whichever later)
SO THAT we exit paper with statistically meaningful sample.

ACCEPTANCE CRITERIA:
- Min 60 trading days OR 50 candidates (LATER, not first — fix from earlier bug)
- Realized hit rate within 15pp of backtest
- Cost realized within 1.5x modeled
- No model drift",S5-E6,,2,High,,paper,
Test,S5-51.T1,TEST: drift monitoring fires on hit rate departure,Inject synthetic loss streak driving observed_p 11pp below baseline; alert fires.,,S5-51,,Medium,,tests,
Story,S5-60,Switch executor to live and ramp to 0.25x,"AS a trader
I WANT real-money execution at 0.25x sizing for first 30 trades
SO THAT we validate slippage and execution differences vs paper.

ACCEPTANCE CRITERIA:
- Endpoint flips to live
- Sizing: Kelly fraction * 0.25
- Daily loss kill-switch active
- Slippage tracker logs intended-vs-fill on every trade",S5-E7,,3,Critical,,live,
Test,S5-60.T1,TEST: kill switch closes positions on daily loss,"Simulate -2.1% daily P&L; kill fires, closes positions, blocks new entries.",,S5-60,,Medium,,tests,
Story,S5-61,Per-direction posterior tracking,"AS a quant researcher
I WANT posterior tracked separately for long-after-tank and short-after-surge
SO THAT per-direction drift is detected.

ACCEPTANCE CRITERIA:
- TWO Beta-Binomial trackers (NOT single)
  long_after_tank: alpha=10*0.55, beta=10*0.45
  short_after_surge: alpha=10*0.50, beta=10*0.50
- Each direction's posterior in EV calc for that direction's trades
- Alert if either drops > 10pp below prior
- Alert if posteriors diverge > 15pp from each other",S5-E7,,3,High,,ev,
Test,S5-61.T1,TEST: posterior approaches empirical with sample,Inject 100 wins and 100 losses; converges to 0.50 within 1pp.,,S5-61,,Medium,,tests,
Test,S5-61.T2,TEST: directional posteriors independent,"Inject 100 long-wins and 100 short-losses. Long posterior -> 1.0, short -> 0.0. Do NOT pool.",,S5-61,,Medium,,tests,
Story,S5-70,Ramp to 0.50x after 30 trades,"AS a trader
I WANT to scale to 0.50x quarter-Kelly after 30 successful 0.25x trades.

ACCEPTANCE CRITERIA:
- Trades >= 30 at 0.25x with posterior within tolerance
- No drift alerts last 14 days
- Slippage realized < 1.5x modeled
- Manual approval before flip",S5-E8,,2,High,,live,
Story,S5-71,Ramp to full quarter-Kelly after 100 trades,"AS a trader
I WANT to scale to full quarter-Kelly after 100 cumulative live trades with positive expectancy.

ACCEPTANCE CRITERIA:
- Cumulative live trades >= 100
- Posterior expectancy > 0
- Per-trade cap raises 0.50% -> 1.00%",S5-E8,,2,High,,live,
Story,S5-80,"Risk manager with vega-weighted IV exit, model-stale, exec-liquidity","AS a developer
I WANT a risk manager with vega-weighted IV-crush, model-stale kill, execution-liquidity rejects
SO THAT all production controls in one place.

ACCEPTANCE CRITERIA:
Caps:
- Per-trade max risk: 0.50% (paper/ramp), 1.00% (full)
- Concurrent S5 max: 2; same ticker max: 1; sector max: 1
- Daily loss kill: -2.0%; weekly soft halt: -4.0%
- Drift: hit rate -10pp disables ML-gated entries
- GEX freshness: stale > 30min, pass

IV-crush exit:
- Calibrate empirically over first 30 paper trades
- Threshold in vega-weighted terms: position_vega * delta_iv > 0.5 * current_premium
- Until calibrated, placeholder 35% IV crush

Model-stale kill:
- If model_version_age_hours > 48 OR drift_alert active, disable ML-gated entries
- Optionally fall back to rules-only mode

Execution-liquidity rejects:
- Reject if bid_ask_spread_pct > 0.05
- Reject if option_volume_5d_avg < min_option_volume",S5-E9,,8,Critical,,risk,
Test,S5-80.T1,TEST: family-correlation cap blocks 4th S5,"GIVEN 3 open S5 positions, WHEN 4th evaluated, THEN denied 'family_correlation_cap'.",,S5-80,,Medium,,tests,
Test,S5-80.T2,TEST: IV crush exit calibrated empirically,"After 30 paper trades, threshold from observed (vega * dIV) / premium ratio at break-even. Stored in config.",,S5-80,,Medium,,tests,
Test,S5-80.T3,TEST: model-stale disables ML gate,"GIVEN model_version_age = 72h, WHEN candidate evaluated, THEN ML-gated path skipped.",,S5-80,,Medium,,tests,
Test,S5-80.T4,TEST: execution-liquidity reject fires,"GIVEN bid_ask_spread_pct = 0.08, WHEN evaluated, THEN denied 'option_spread_too_wide'.",,S5-80,,Medium,,tests,
Story,S5-81,Decision log per v2.2 sec 24,"AS a developer
I WANT every TRADE and PASS logged with full context.

ACCEPTANCE CRITERIA:
- Postgres table per v2.2 sec 24 schema
- Insert latency < 50ms (non-blocking)
- Indexed on timestamp, ticker, model_version
- Includes gex_strike_dte, gex_snapshot_age_min, fake_breakout_check, ml_threshold_used, iv_at_entry",S5-E9,,3,Critical,,journal,
Test,S5-81.T1,TEST: decision log non-blocking,Latency of order submission with vs without log enabled. Diff < 50ms.,,S5-81,,Medium,,tests,
Story,S5-82,Attribution dashboard,"AS a quant researcher
I WANT a dashboard showing per-strategy hit rate, R, Sharpe over rolling 30/90/365 day windows.

ACCEPTANCE CRITERIA:
- Built on decision_log + closed trades
- Per-edge breakdown
- Per-pass-reason histogram
- Drift alerts surfaced visibly",S5-E9,,5,Medium,,observability,
Story,S5-83,Alerting: Pushover or Discord,"AS a trader
I WANT push notifications for fills, kill-switch, drift, freshness violations.

ACCEPTANCE CRITERIA:
- Pushover or Discord webhook
- Fires on: trade fill, kill switch, drift, GEX stale rejection rate >20%
- Rate-limited: max 5/hour",S5-E9,,2,Medium,,observability,
Story,S5-100,Cost-model recalibration after first 50 paper trades,"AS a quant researcher
I WANT cost model recalibrated against realized paper-trade slippage and spreads
SO THAT Phase 4 backtest reflects actual trading conditions.

ACCEPTANCE CRITERIA:
- After first 50 paper trades, compute realized cost per trade
- Compare realized to modeled (5-10% RT for single-name weekly)
- If realized/modeled > 1.20 OR < 0.80, recalibrate
- After recalibration, RE-RUN Phase 4 ML-vs-rules; if ML lift drops below 1.15x, model goes back to research
- Document in /docs/cost-recalibration-{date}.md",S5-E11,,5,High,,operations,
Test,S5-100.T1,TEST: recalibration triggers when delta > 20%,"Realized 12% vs modeled 9%; recalibration_required flag set, alert fires.",,S5-100,,Medium,,tests,
Story,S5-102,Per-phase rollback procedures,"AS a quant researcher
I WANT explicit fail-action procedures for every phase gate
SO THAT we don't lose months to a single failed gate.

ACCEPTANCE CRITERIA — for each phase 0-7, document fail action:
- Phase 0 fail: gamma adds no lift -> rebrand or kill
- Phase 1 fail: replay non-deterministic -> bug-fix
- Phase 2 fail: rules-only EV negative -> audit; if 1 iter still negative, kill
- Phase 3 fail: ML doesn't pass -> escalation ladder; if 2 iter fail, ship rules-only
- Phase 4 fail: ML lift < 1.15x -> check label leakage; if still failing, ship rules-only
- Phase 5 fail: paper drift > 15pp -> root-cause, restart timer
- Phase 6 fail: live drift > 10pp at 0.25x -> kill, decision gate
- Phase 7 fail: live drift -> fall back to 0.25x, 30 more trades, retire if fails",S5-E11,,3,High,,operations,
Test,S5-102.T1,TEST: every phase has rollback path documented,/docs/rollback/phase-{0..7}.md files exist and non-empty before phase begins.,,S5-102,,Medium,,tests,
Story,S5-104,Production gate function: allow_s5_trade(),"AS a developer
I WANT a single canonical entry function allow_s5_trade() orchestrating all gates
SO THAT production code path is auditable in one place.

ACCEPTANCE CRITERIA:
Gate ordering (locked):
  1. is_s5_setup
  2. reversal_score >= required
  3. gamma_distance_atr <= 0.50
  4. event_blackout
  5. gex_stale
  6. bid_ask_spread_pct <= 0.05
  7. option_volume >= min_option_volume
  8. ml_prob >= threshold
  9. expected_value_net > 0
  10. risk_manager_allows
Returns Decision dataclass with TRADE or PASS + pass_reason.
Every PASS reason logged to decision_log.
Function is the ONLY path to S5 order submission.",S5-E11,,5,Critical,,production-gate,
Sub-task,S5-104.1,Implement allow_s5_trade with gate chain,Sequential gate evaluation; first failure short-circuits. Returns typed Decision.,,S5-104,3,Medium,,,
Sub-task,S5-104.2,Wire to executor as single entry point,Executor calls allow_s5_trade. No other code path submits S5 orders.,,S5-104,2,Medium,,,
Test,S5-104.T1,TEST: every gate has unique pass_reason,Test each gate failing in isolation; pass_reason unique and informative.,,S5-104,,Medium,,tests,
Test,S5-104.T2,TEST: allow_s5_trade is the only order-submission path,Static analysis: no other call to alpaca.submit_order() outside allow_s5_trade's executor wrapper.,,S5-104,,Medium,,tests,
Epic,S1-E1,"S1 Pre-FOMC Drift: Setup, Scanner, Trigger",Pre-FOMC equity drift strategy. Cieslak/Morse/Vissing-Jorgensen 2014 shows positive equity drift in 24h before FOMC. Time-window-based setup.,,,,Medium,"s1,future-strategy",trading-system,
Story,S1-1,Implement is_s1_setup() — Pre-FOMC time window gate,"AS a developer
I WANT a pre-FOMC setup gate firing on the trading day before scheduled FOMC announcements
SO THAT S1 candidates pre-stage in the ~24h drift window.

ACCEPTANCE CRITERIA:
- FOMC calendar maintained: list of scheduled announcement datetimes
- Setup window: 14:00 prior trading day open through 14:00 announcement day
- Universe: SPY, QQQ, IWM only
- No setup if: holiday-shortened day, prior emergency announcement, VIX > 35
- Returns True only inside window AND for eligible tickers AND no regime override",S1-E1,,3,Medium,,"rules,future-s1",
Sub-task,S1-1.1,FOMC calendar source,Hardcode 12 months ahead from Fed press releases; verify quarterly.,,S1-1,1,Medium,,,
Sub-task,S1-1.2,Window logic and regime override,Implement window check; VIX regime override via Polygon /v3/snapshot.,,S1-1,2,Medium,,,
Test,S1-1.T1,TEST: setup fires only in 24h window,"GIVEN FOMC date 2026-05-07 14:00 ET, WHEN evaluated 2026-05-06 14:30, THEN True. WHEN 2026-05-07 14:30, THEN False.",,S1-1,,Medium,,tests,
Test,S1-1.T2,TEST: VIX > 35 disables S1,"GIVEN VIX = 38, in-window, THEN False with 'vix_regime_override'.",,S1-1,,Medium,,tests,
Story,S1-2,S1 scanner — runs once per day at window open,"AS a developer
I WANT the S1 scanner triggered once per day at window open
SO THAT S1 candidates pre-stage without continuous scanning.

ACCEPTANCE CRITERIA:
- Cron-style trigger at 14:00 ET on FOMC-eve days
- Creates candidates for SPY, QQQ, IWM with direction=LONG
- Persists to redis pre_staged_s1 with TTL = (announcement_time - now)
- Entry logic: simple time-trigger at 09:35 ET on announcement day",S1-E1,,2,Medium,,"scanner,future-s1",
Story,S1-3,S1 entry: time-trigger at announcement-day open,"AS a developer
I WANT S1 entry triggered at 09:35 ET on FOMC day for pre-staged candidates
SO THAT we capture the drift through the morning session.

ACCEPTANCE CRITERIA:
- At 09:35 ET on FOMC day, every pre-staged S1 candidate triggers ENTRY
- Vertical call spread, 7-14 DTE, delta 0.30-0.40
- Exit at 13:55 ET regardless of P&L — DO NOT hold through announcement
- Risk per trade: 0.50% of equity",S1-E1,,3,Medium,,"execution,future-s1",
Test,S1-3.T1,TEST: forced exit at 13:55 ET,"GIVEN S1 position open, WHEN clock = 13:55 ET, THEN close all S1 positions regardless of P&L.",,S1-3,,Medium,,tests,
Epic,S2-E1,"S2 ORB Stocks-In-Play: Setup, Scanner, Trigger",Opening Range Breakout on high-relative-volume names. Reuses scalp brain SURGE_IGNITION/TANK_IGNITION states for trigger.,,,,Medium,"s2,future-strategy",trading-system,
Story,S2-1,Implement opening_range computation per ticker,"AS a developer
I WANT 5-minute opening range computed and stored per universe ticker
SO THAT S2 setup can reference high/low of OR.

ACCEPTANCE CRITERIA:
- For top-200 liquid names, compute OR_high and OR_low from 09:30:00-09:35:00 ET
- Persist to redis: opening_range:{ticker} = {high, low, mid, computed_at}
- TTL: 23 hours",S2-E1,,3,Medium,,"features,future-s2",
Test,S2-1.T1,TEST: OR uses only first 5 minutes,Synthetic ticker with bars 09:30-10:00. OR computed from 09:30-09:34 only. 09:35+ ignored.,,S2-1,,Medium,,tests,
Story,S2-2,Implement is_s2_setup() — Stocks-in-play with ORB,"AS a developer
I WANT a setup gate detecting stocks-in-play breaking out of opening range
SO THAT S2 candidates pre-stage on momentum starting names.

ACCEPTANCE CRITERIA:
- gap_pct >= 0.02 (2%) OR pre_market_volume_ratio >= 5.0
- After 09:35 ET: price closes above OR_high (long) or below OR_low (short)
- Volume_at_breakout >= 1.5x avg minute volume
- No earnings within 24h",S2-E1,,5,Medium,,"rules,future-s2",
Sub-task,S2-2.1,Gap and pre-market volume features,Compute gap_pct from 4:00-9:30 trades; pre_market_volume_ratio from 4-9:30 cumulative.,,S2-2,2,Medium,,,
Sub-task,S2-2.2,ORB break detection,"After 09:35 ET, watch for first close > OR_high or close < OR_low.",,S2-2,2,Medium,,,
Sub-task,S2-2.3,Volume confirmation at breakout,Breakout bar volume >= 1.5x trailing 30-bar avg.,,S2-2,1,Medium,,,
Test,S2-2.T1,TEST: pure gap without volume rejected,"GIVEN gap_pct=0.025 BUT pre_market_volume_ratio=2.0, WHEN evaluated, THEN False.",,S2-2,,Medium,,tests,
Test,S2-2.T2,TEST: ORB break requires close not just touch,Bar high pierces OR_high but closes below — not a break. Bar high pierces AND closes above — break.,,S2-2,,Medium,,tests,
Story,S2-3,S2 scanner — every 1 minute from 09:35-11:00 ET,"AS a developer
I WANT the S2 scanner running every minute during 09:35-11:00 ET
SO THAT S2 captures fresh ORB breaks intraday.

ACCEPTANCE CRITERIA:
- Scan top-200 names every minute 09:35-11:00 ET
- Skip names with no gap or pre-market volume
- Persist break events to redis pre_staged_s2 (TTL 30 min)",S2-E1,,3,Medium,,"scanner,future-s2",
Story,S2-4,S2 trigger: scalp SURGE_IGNITION or TANK_IGNITION confirmation,"AS a developer
I WANT S2 entry triggered when scalp brain confirms IGNITION state in ORB direction
SO THAT we don't enter on the wick alone.

ACCEPTANCE CRITERIA:
- Subscribe to scalp.price_trigger
- Match: SURGE_IGNITION (long) or TANK_IGNITION (short)
- ignition_score required >= 0.50
- Apply fake-breakout reject (SWING-4) before entry",S2-E1,,3,Medium,,"rules,future-s2",
Epic,S3-E1,"S3 Intraday Momentum: Setup, Scanner, Trigger","Continuation-momentum strategy on persistent trending intraday moves. Catches the SURGE_CONTINUATION leg, not reversals.",,,,Medium,"s3,future-strategy",trading-system,
Story,S3-1,Implement is_s3_setup() — Intraday momentum gate,"AS a developer
I WANT a setup gate detecting persistent intraday momentum
SO THAT S3 captures the SURGE_CONTINUATION trade.

ACCEPTANCE CRITERIA:
- session_return_atr >= 1.5 (long) or <= -1.5 (short)
- vwap_distance_atr: price > vwap by >= 0.75 ATR (long) or < vwap by >= 0.75 ATR (short)
- consecutive_higher_lows >= 4 (long) or consecutive_lower_highs >= 4 (short)
- aggressor_avg_30m: long >= 0.60, short <= 0.40
- not at_liquidity (opposite of S5)
- distance_to_pos_gex_atr >= 1.0 (avoid trading INTO gamma resistance)",S3-E1,,5,Medium,,"rules,future-s3",
Sub-task,S3-1.1,session_return and vwap_distance features,From day_open and session VWAP. ATR_D1 from prior 14 daily ATR.,,S3-1,2,Medium,,,
Sub-task,S3-1.2,Higher-lows / lower-highs detector,Walk back N bars; count strictly monotonic structure.,,S3-1,2,Medium,,,
Sub-task,S3-1.3,Aggressor average over rolling 30m,Reuse aggressor classifier (FND-1.T2). 30-min weighted avg.,,S3-1,1,Medium,,,
Test,S3-1.T1,TEST: choppy day with no trend rejected,"Synthetic day: vwap-cross 8 times, session_return = 0.3 ATR. is_s3_setup = False.",,S3-1,,Medium,,tests,
Test,S3-1.T2,TEST: trending into gamma rejected,session_return = 2.0 ATR but distance_to_pos_gex_atr = 0.4. False with 'too_close_to_gamma'.,,S3-1,,Medium,,tests,
Story,S3-2,S3 scanner — every 5 minutes,"AS a developer
I WANT the S3 scanner running every 5 minutes scanning top-100 names
SO THAT S3 momentum candidates pre-stage continuously.

ACCEPTANCE CRITERIA:
- Scan every 5 min from 10:00 ET to 15:00 ET
- For each name, run is_s3_setup
- Persist to redis pre_staged_s3 (TTL 30 min)",S3-E1,,3,Medium,,"scanner,future-s3",
Story,S3-3,S3 trigger: scalp SURGE_CONTINUATION/TANK_CONTINUATION,"AS a developer
I WANT S3 entry triggered when scalp brain CONTINUES the trend
SO THAT we time entries on continuation-state confirmation.

ACCEPTANCE CRITERIA:
- Subscribe to scalp.price_trigger
- Match: SURGE_CONTINUATION (long) or TANK_CONTINUATION (short)
- continuation_score required >= 0.55
- Reject if reversal_score also high (mixed signals = pass)",S3-E1,,3,Medium,,"rules,future-s3",
Test,S3-3.T1,TEST: high reversal_score rejects continuation entry,"GIVEN continuation_score=0.62 BUT reversal_score=0.48, WHEN evaluated, THEN PASS 'mixed_signals'.",,S3-3,,Medium,,tests,
Epic,S4-E1,"S4 Signed Flow Followup: Setup, Scanner, Trigger",Trade with the prevailing institutional options flow. UW signed-premium signals identify directional accumulation; price + scalp confirmation provides entry timing.,,,,Medium,"s4,future-strategy",trading-system,
